epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15.3813,0.76405,3.43669,1.00444,0.00425,0.8125,0.20156,0.13978,1.03687,3.67427,1.12474,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05
2,28.7166,1.13806,3.41971,1.2255,0.00417,0.8125,0.22354,0.16712,1.01103,3.68271,1.11114,0.000147059,4.90198e-05,0.000147059,4.90198e-05,0.000147059,4.90198e-05,0.000147059,4.90198e-05
3,41.6885,1.31291,3.56529,1.2475,0.00411,0.8125,0.23305,0.18301,1.00453,3.67418,1.10786,0.000240148,8.00493e-05,0.000240148,8.00493e-05,0.000240148,8.00493e-05,0.000240148,8.00493e-05
4,54.6803,1.21647,3.56807,1.26993,0.00428,0.84375,0.25024,0.19358,0.98519,3.67091,1.09571,0.000329276,0.000109759,0.000329276,0.000109759,0.000329276,0.000109759,0.000329276,0.000109759
5,67.6281,1.04183,3.36518,1.11199,0.00445,0.875,0.2619,0.20408,0.98277,3.6675,1.097,0.000414443,0.000138148,0.000414443,0.000138148,0.000414443,0.000138148,0.000414443,0.000138148
6,80.5928,1.26801,3.56184,1.39618,0.00461,0.90625,0.27738,0.21633,0.96664,3.65519,1.09329,0.000495649,0.000165216,0.000495649,0.000165216,0.000495649,0.000165216,0.000495649,0.000165216
7,93.9976,1.17922,3.51894,1.29315,0.0046,0.90625,0.2973,0.24424,0.9506,3.64753,1.09654,0.000572895,0.000190965,0.000572895,0.000190965,0.000572895,0.000190965,0.000572895,0.000190965
8,109.642,0.91934,3.33824,1.07627,0.00458,0.90625,0.33801,0.27031,0.93526,3.64277,1.10287,0.000646179,0.000215393,0.000646179,0.000215393,0.000646179,0.000215393,0.000646179,0.000215393
9,121.794,1.05851,3.45929,1.13693,0.00458,0.90625,0.33611,0.27312,0.91344,3.6347,1.09303,0.000715503,0.000238501,0.000715503,0.000238501,0.000715503,0.000238501,0.000715503,0.000238501
10,134.203,0.9237,3.28753,1.09629,0.00457,0.90625,0.34136,0.27457,0.89328,3.63221,1.08367,0.000780866,0.000260289,0.000780866,0.000260289,0.000780866,0.000260289,0.000780866,0.000260289
11,145.734,0.92726,3.29503,1.08232,0.00456,0.90625,0.34527,0.28557,0.88268,3.60817,1.08302,0.000842268,0.000280756,0.000842268,0.000280756,0.000842268,0.000280756,0.000842268,0.000280756
12,157.268,0.98625,3.34099,1.08891,0.00474,0.9375,0.37182,0.30083,0.87267,3.60019,1.08945,0.00089971,0.000299903,0.00089971,0.000299903,0.00089971,0.000299903,0.00089971,0.000299903
13,167.948,0.96888,3.27194,1.19763,0.00491,0.96875,0.38674,0.31952,0.84193,3.60613,1.07582,0.000953191,0.00031773,0.000953191,0.00031773,0.000953191,0.00031773,0.000953191,0.00031773
14,177.57,1.0361,3.35613,1.10266,0.00491,0.96875,0.40121,0.34966,0.80689,3.60346,1.05603,0.00100271,0.000334237,0.00100271,0.000334237,0.00100271,0.000334237,0.00100271,0.000334237
15,186.829,0.9494,3.29215,1.08087,0.00491,0.96875,0.40605,0.35868,0.77296,3.6139,1.04077,0.00104827,0.000349423,0.00104827,0.000349423,0.00104827,0.000349423,0.00104827,0.000349423
16,198.526,0.67741,3.29156,1.04077,0.00491,0.96875,0.40033,0.35679,0.7323,3.61574,1.0286,0.00108987,0.000363289,0.00108987,0.000363289,0.00108987,0.000363289,0.00108987,0.000363289
17,210.381,0.80118,3.15258,0.96877,0.00491,0.96875,0.40073,0.35243,0.71049,3.60284,1.01562,0.00112751,0.000375835,0.00112751,0.000375835,0.00112751,0.000375835,0.00112751,0.000375835
18,222.216,0.97065,3.16064,1.10389,0.00508,1,0.41352,0.37329,0.68885,3.58661,1.00584,0.00116118,0.000387061,0.00116118,0.000387061,0.00116118,0.000387061,0.00116118,0.000387061
19,234.136,0.88877,3.07105,1.09624,0.00474,0.9375,0.43991,0.38563,0.68333,3.56617,0.998,0.0011909,0.000396966,0.0011909,0.000396966,0.0011909,0.000396966,0.0011909,0.000396966
20,244.804,0.80371,3.24987,0.99999,0.00491,0.96875,0.44883,0.39882,0.69594,3.53662,1.00329,0.00121665,0.000405551,0.00121665,0.000405551,0.00121665,0.000405551,0.00121665,0.000405551
21,254.361,0.96563,3.13225,1.18604,0.00508,1,0.46651,0.4204,0.66426,3.50655,0.96838,0.00123845,0.000412816,0.00123845,0.000412816,0.00123845,0.000412816,0.00123845,0.000412816
22,264.386,0.69802,3.02389,0.92522,0.00507,1,0.47213,0.4218,0.67296,3.46996,0.97653,0.00125628,0.00041876,0.00125628,0.00041876,0.00125628,0.00041876,0.00125628,0.00041876
23,275.292,0.84762,3.40639,1.01787,0.00507,1,0.48797,0.44411,0.68567,3.44387,0.97428,0.00127015,0.000423385,0.00127015,0.000423385,0.00127015,0.000423385,0.00127015,0.000423385
24,287.341,1.00245,3.0217,1.05917,0.00507,1,0.49219,0.44955,0.66223,3.42189,0.94799,0.00128007,0.000426689,0.00128007,0.000426689,0.00128007,0.000426689,0.00128007,0.000426689
25,299.16,1.03381,3.09796,1.11735,0.00507,1,0.50613,0.45847,0.65961,3.39397,0.94883,0.00128602,0.000428672,0.00128602,0.000428672,0.00128602,0.000428672,0.00128602,0.000428672
26,311.371,1.03902,2.93928,1.08179,0.00507,1,0.53271,0.47655,0.67568,3.37207,0.96903,0.00128801,0.000429336,0.00128801,0.000429336,0.00128801,0.000429336,0.00128801,0.000429336
27,323.293,0.81413,3.10162,1.25385,0.00507,1,0.54849,0.47713,0.67093,3.34395,0.96786,0.00128604,0.000428679,0.00128604,0.000428679,0.00128604,0.000428679,0.00128604,0.000428679
28,330.716,0.83536,2.8695,1.00016,0.00507,1,0.54849,0.47713,0.67093,3.34395,0.96786,0.00128011,0.000426702,0.00128011,0.000426702,0.00128011,0.000426702,0.00128011,0.000426702
29,342.193,1.20856,3.62965,1.51121,0.00507,1,0.57431,0.50307,0.6626,3.32098,0.96522,0.00127021,0.000423405,0.00127021,0.000423405,0.00127021,0.000423405,0.00127021,0.000423405
